peliculas,original,año,duración,genero,español,img
Exorcismo,-,2015,91,terror,subtitulos,http://elhorror.com.mx/quehorror/wp-content/uploads/2015/02/evil-dead.jpg
(R)evolución de la carne,-,2014,109,documental,subtitulos,https://meatme-files.s3.amazonaws.com/blog/full/31150df713ec74974aac9b18c74ad80036a02ba2.jpg
(T)ERROR,-,2015,84,documental,subtitulos,http://www.indiewire.com/wp-content/uploads/2015/04/t-error-1.jpg
12 años de esclavitud,-,2013,134,drama,audio + subtitulos,http://img2.rtve.es/v/2220389?w=1600&preview=1386918319458.jpg
13 asesinos,-,2010,125,acción / aventuras,audio + subtitulos,https://www.zinefilos.com/wp-content/uploads/2011/08/13-assassins1.jpg
1898: Los últimos de Filipinas,-,2016,130,drama,audio + subtitulos,http://ep00.epimg.net/tematicos/imagenes/2016/11/21/elpaismas/1479742606_589662_1479746476_noticia_normal.jpg
1922,original,2017,103,drama,audio + subtitulos,https://i.ytimg.com/vi/GVUxrveMdZ0/hqdefault.jpg
20 ans d'écart,-,2013,93,comedia,audio + subtitulos,http://www.anizu.cl/wp-content/uploads/2017/02/20-ans-decart-4.jpg
2015 Dream Concert,- ,2015,117,,subtitulos,https://art-s.nflximg.net/cf264/46d85cf22e2f9d3602722c59ef1785dbaf4cf264.jpg
27 Bodas,- ,2011,112,comedia,audio + subtitulos,http://www.miblogdecineytv.com/imagenes/peliculas/27vestidos2.jpg
A Murder in the Park,-,2014,91,documental,subtitulos,http://cdn.ticketfly.com/i/00/01/62/81/61-atxxl.jpg
A Plastic Ocean,-,2016,100,documental,subtitulos,https://www.adamleipzig.com/wp-content/uploads/2016/05/APO_1Sheet_small-1000x700.jpg
Acts of Vengeance,-,2017,87,acción / aventuras,audio + subtitulos,https://d1jo0zet24jmxt.cloudfront.net/content/17542/93879dbdd7cf499693c5b8d96623bc36_compressed.jpg
Aileen Wuornos: The Selling of a Serial Killer,-,1993,84,documental,subtitulos,http://www.eirinika.gr/images/datafiles1/63331.jpg
Akira,-,1988,124,Ciencia ficción / fantasía,subtitulos,http://fusion-freak.es/wp-content/uploads/2018/04/akira.jpg
Algunas mujeres,-,2013,90,comedia,audio + subtitulos,https://upload.wikimedia.org/wikipedia/ru/a/a4/Poster_of_the_movie_Some_Girls.jpg
Alien Autopsy: Fact or Fiction?,-,1995,46,documental,subtitulos,https://scdn.nflximg.net/ipl/15490/72942b9ca21c56c86a1c07ae808e22dcae4717aa.jpg
Allende en su Laberinto,-,2014,91,drama,audio + subtitulos,http://leedor.com/wp-content/uploads/2016/06/allende1.jpg
Alquiler de padrinos,-,2015,102,comedia,audio + subtitulos,http://elconcreto.com/wp-content/uploads/2015/03/Alquiler-de-Padrinos-es-la-comedia-del-momento.jpg
Althea,-,2015,92,documental,subtitulos,https://occ-0-2433-999.1.nflxso.net/art/02260/27c94de11ea478416f4efcaa34d1a29e43302260.jpg
American Anarchist,-,2016,81,documental,subtitulos,https://art-s.nflximg.net/edcfc/68dce24f30a2814dea9bb5d397489805561edcfc.jpg
Amnesia,-,2000,113,misterio,audio + subtitulos,http://www.cinencuentro.com/wp-content/uploads/2008/04/memen21.jpg
Asesinos por naturaleza,-,1994,119,drama,audio + subtitulos,http://www.serperuano.com/wp-content/uploads/2016/04/LARCOMAR-afiche-uvk-aseesinos-por-naturaleza.jpg
Asoka,-,2001,168,acción / aventuras,subtitulos,http://es.web.img2.acsta.net/r_1280_720/pictures/18/03/13/00/30/0707728.jpg
Atari: Game Over,-,2014,66,documental,subtitulos,http://www.demasiadocine.com/wp-content/uploads/2014/08/BtbODcfIIAAl_uH.jpg
Ataud Blanco,-,2016,70,terror,audio + subtitulos,https://1yazat78t1q1ticyv3i8g9il-wpengine.netdna-ssl.com/wp-content/uploads/2015/10/Ata%C3%BAd-Blando-portada.jpg
Batman: El caballero de la noche asciende,-,2012,164,acción / aventuras,audio + subtitulos,http://www.actitudfem.com/media/files/styles/large/public/images/2012/12/batman_rises.jpg
Beasts of No Nation ,-,2015,137,drama,audio + subtitulos,http://leedor.com/wp-content/uploads/2015/10/5-portada.jpg
Belleza americana,-,1999,122,drama,audio + subtitulos,https://img.elcomercio.pe/files/ec_article_multimedia_gallery/uploads/2017/04/01/58df33e433441.jpeg
